course,name,description,equivalents,prerequisites,other_reqs,full_description
SDS 368,Statistical Theory,"Introduction to the mathematical theory of statistics. Explore maximum likelihood estimation, confidence intervals, hypothesis tests and statistical decision theory, tail and concentration bounds, concentration of measure, and nonparametric statistics.",[],['Statistics and Data Sciences 431 with a grade of at least C-; Mathematics 340L or 341 or Statistics and Data Sciences 329C with a grade of at least C-; and credit with a grade of at least C- or registration for Statistics and Data Sciences 334'],"A solid foundation in calculus, probability theory, and linear algebra.","SDS 368. Statistical Theory. Introduction to the mathematical theory of statistics. Explore maximum likelihood estimation, confidence intervals, hypothesis tests and statistical decision theory, tail and concentration bounds, concentration of measure, and nonparametric statistics. The equivalent of three lecture hours a week for one semester. Prerequisite: Statistics and Data Sciences 431 with a grade of at least C-; Mathematics 340L or 341 or Statistics and Data Sciences 329C with a grade of at least C-; and credit with a grade of at least C- or registration for Statistics and Data Sciences 334; and a solid foundation in calculus, probability theory, and linear algebra."
SDS 374C,Parallel Computing for Science and Engineering,"Study of parallel computing principles, architectures, and technologies; and parallel application development, performance, and scalability.",['Statistics and Scientific Computation 374C'],"['Mathematics 408D or 408M, 340L, and prior programming experience using C or Fortran on Linux or Unix systems']",,"SDS 374C. Parallel Computing for Science and Engineering. Study of parallel computing principles, architectures, and technologies; and parallel application development, performance, and scalability. Three lecture hours a week for one semester. Statistics and Data Sciences 374C and Statistics and Scientific Computation 374C may not both be counted. Prerequisite: Mathematics 408D or 408M, 340L, and prior programming experience using C or Fortran on Linux or Unix systems."
SDS 383C,Statistical Modeling I,"Restricted to students in the PhD Statistics program. An introduction to core applied statistical modeling ideas from a probabilistic, Bayesian perspective.",['Statistics and Scientific Computation 383C'],['Graduate standing'],,"SDS 383C. Statistical Modeling I. Restricted to students in the PhD Statistics program. An introduction to core applied statistical modeling ideas from a probabilistic, Bayesian perspective. Three lecture hours a week for one semester. Statistics and Data Sciences 383C and Statistics and Scientific Computation 383C may not both be counted. Prerequisite: Graduate standing."
SDS 383D,Statistical Modeling II,"Use of structured, probabilistic models that incorporate multiple layers of uncertainty to describe real-world systems.",['Statistics and Scientific Computation 383D'],['Graduate standing; Economics 392M (Topic 19); Statistics and Data Sciences 384 (or Statistics and Scientific Computation 384) or the equivalent; and Statistics and Data Sciences 383C (or Statistics and Scientific Computation 383C)'],,"SDS 383D. Statistical Modeling II. Use of structured, probabilistic models that incorporate multiple layers of uncertainty to describe real-world systems. Three lecture hours per week for one semester. Statistics and Data Sciences 383D and Statistics and Scientific Computation 383D may not both be counted. Prerequisite: Graduate standing; Economics 392M (Topic 19); Statistics and Data Sciences 384 (or Statistics and Scientific Computation 384) or the equivalent; and Statistics and Data Sciences 383C (or Statistics and Scientific Computation 383C)."
SDS 384,Topics in Statistics and Probability,Concepts of probability and mathematical statistics with applications in data analysis and research.,['Statistics and Scientific Computation 384'],['Graduate standing; Statistics and Data Sciences 382 (or Statistics and Scientific Computation 382); an introductory probability course and a statistics course; or consent of instructor'],,SDS 384. Topics in Statistics and Probability. Concepts of probability and mathematical statistics with applications in data analysis and research. Three lecture hours a week for one semester. Statistics and Data Sciences 384 and Statistics and Scientific Computation 384 may not both be counted unless topics vary. May be repeated for credit when the topics vary. Prerequisite: Graduate standing; Statistics and Data Sciences 382 (or Statistics and Scientific Computation 382); an introductory probability course and a statistics course; or consent of instructor.
SDS 386M,Topics in Statistics and Data Science Extensions,Examine concepts of statistics and data science.,['Statistics and Data Sciences 395 (Topic: Data Viz in R)'],"['Graduate standing; Calculus, linear algebra, and introductory statistics course; or consent of instructor. Additional prerequisites vary with the topic.']",,"SDS 386M. Topics in Statistics and Data Science Extensions. Examine concepts of statistics and data science. Three lecture hours a week for one semester. May be repeated for credit when the topics vary. Prerequisite: Graduate standing; Calculus, linear algebra, and introductory statistics course; or consent of instructor. Additional prerequisites vary with the topic."
SDS 389,Time Series and Dynamic Models,"Exploration of the general class of state-space models, or dynamic models.",['Statistics and Scientific Computation 389'],"['Graduate standing; Economics 392M (Topic 19); Statistics and Data Sciences 384 (or Statistics and Scientific Computation 384) or the equivalent; and coding skills in R, Matlab, or Stata']",,"SDS 389. Time Series and Dynamic Models. Exploration of the general class of state-space models, or dynamic models. Three lecture hours a week for one semester. Statistics and Data Sciences 389 and Statistics and Scientific Computation 389 may not both be counted. Prerequisite: Graduate standing; Economics 392M (Topic 19); Statistics and Data Sciences 384 (or Statistics and Scientific Computation 384) or the equivalent; and coding skills in R, Matlab, or Stata."
SDS 190,Readings in Statistics,"Faculty directed research seminar. Activities may vary, but will include readings of cutting-edge research papers, discussion of ongoing student and faculty projects, and consulting projects. May be repeated for credit.",[],['Graduate standing'],May be repeated for credit,"Faculty directed research seminar. Activities may vary, but will include readings of cutting-edge research papers, discussion of ongoing student and faculty projects, and consulting projects. May be repeated for credit. Prerequisite: Graduate standing."
SDS 391C,Statistical Machine Learning,"Introduction to statistical machine learning. Subjects include but are not limited to supervised learning (estimation, linear regression, classification, online and margin based classification approaches), unsupervised learning (K-means, mixture of Gaussians, dimensionality reduction PCA/SVD), and non-parametric methods. Three lecture hours a week for one semester. May be repeated for credit.",[],"['Graduate standing; experience in multivariate statistics, probability, linear algebra']",May be repeated for credit,"Introduction to statistical machine learning. Subjects include but are not limited to supervised learning (estimation, linear regression, classification, online and margin based classification approaches), unsupervised learning (K-means, mixture of Gaussians, dimensionality reduction PCA/SVD), and non-parametric methods. Three lecture hours a week for one semester. May be repeated for credit. Prerequisite: Graduate standing; experience in multivariate statistics, probability, linear algebra."
SDS 391D,Data Mining,"Study of various mathematical and statistical aspects of data mining. Includes supervised learning (regression, classification, and support vector machines) and unsupervised learning (clustering, principal components analysis, and dimensionality reduction). Uses technical tools drawn from linear algebra, multivariate statistics, and optimization. Three lecture hours a week for one semester.",[],['Graduate standing and a linear algebra course'],Statistics and Data Sciences 391D and Statistics and Scientific Computation 391D may not both be counted,"Study of various mathematical and statistical aspects of data mining. Includes supervised learning (regression, classification, and support vector machines) and unsupervised learning (clustering, principal components analysis, and dimensionality reduction). Uses technical tools drawn from linear algebra, multivariate statistics, and optimization. Three lecture hours a week for one semester. Prerequisite: Graduate standing and a linear algebra course. Statistics and Data Sciences 391D and Statistics and Scientific Computation 391D may not both be counted."
SDS 391P,Topics in Statistics and Data Science Foundations,Restricted to students in the PhD statistics program. Examine advanced core concepts of statistics and data science. Three lecture hours a week for one semester. May be repeated for credit when the topics vary.,[],['Graduate standing. Additional prerequisites vary with the topic'],May be repeated for credit when the topics vary,Restricted to students in the PhD statistics program. Examine advanced core concepts of statistics and data science. Three lecture hours a week for one semester. May be repeated for credit when the topics vary. Prerequisite: Graduate standing. Additional prerequisites vary with the topic.
"SDS 292, 392",Introduction to Scientific Programming,"Introduction to programming using both the C and Fortran (95/2003) languages, with applications to basic scientific problems. Covers common data types and structures, control structures, algorithms, performance measurement, and interoperability. For each semester hour of credit earned, one lecture hour a week for one semester.","['Statistics and Data Sciences 222, 322, Statistics and Scientific Computation 222, 322, 292, 392']",['Graduate standing and credit or registration for a first-semester calculus course'],Only one of the following may be counted,"Introduction to programming using both the C and Fortran (95/2003) languages, with applications to basic scientific problems. Covers common data types and structures, control structures, algorithms, performance measurement, and interoperability. For each semester hour of credit earned, one lecture hour a week for one semester. May be repeated for credit. Prerequisite: Graduate standing and credit or registration for a first-semester calculus course."
SDS 392M,Computational Economics,"Introduction to the development and solution of economic models of growth, macroeconomic fluctuations, environmental economics, financial economics, general equilibrium models, game theory, and industrial economics. Includes neural nets, genetic algorithms and agent-based methods, and stochastic control theory applied to a variety of economic topics. Three lecture hours a week for one semester.",[],['Graduate standing'],Statistics and Data Sciences 392M and Statistics and Scientific Computation 392M may not both be counted,"Introduction to the development and solution of economic models of growth, macroeconomic fluctuations, environmental economics, financial economics, general equilibrium models, game theory, and industrial economics. Includes neural nets, genetic algorithms and agent-based methods, and stochastic control theory applied to a variety of economic topics. Three lecture hours a week for one semester. Prerequisite: Graduate standing. Statistics and Data Sciences 392M and Statistics and Scientific Computation 392M may not both be counted."
SDS 393C,Numerical Analysis: Linear Algebra,"Same as Computational Science, Engineering, and Mathematics 383C, Computer Science 383C, and Mathematics 383E. Survey of numerical methods in linear algebra: floating-point computation, solution of linear equations, least squares problems, algebraic eigenvalue problems. Three lecture hours a week for one semester.","['Computational Science, Engineering, and Mathematics 383C, Computer Science 383C, Mathematics 383E']","['Graduate standing; Computer Science 367 or Mathematics 368K; and Mathematics 340L, 341, or consent of instructor']",Only one of the following may be counted,"Same as Computational Science, Engineering, and Mathematics 383C, Computer Science 383C, and Mathematics 383E. Survey of numerical methods in linear algebra: floating-point computation, solution of linear equations, least squares problems, algebraic eigenvalue problems. Three lecture hours a week for one semester. Prerequisite: Graduate standing; Computer Science 367 or Mathematics 368K; and Mathematics 340L, 341, or consent of instructor. Only one of the following may be counted: Computational Science, Engineering, and Mathematics 383C, Computer Science 383C, Mathematics 383E, Statistics and Data Sciences 393C."
SDS 393D,"Numerical Analysis: Interpolation, Approximation, Quadrature, and Differential Equations","Same as Computational Science, Engineering, and Mathematics 383D, Computer Science 383D, and Mathematics 383F. Survey of numerical methods for interpolation, functional approximation, integration, and solution of differential equations. Three lecture hours a week for one semester.","['Computational Science, Engineering, and Mathematics 383D, Computer Science 383D, Mathematics 383F']","['Graduate standing; Computational Science, Engineering, and Mathematics 383C, Computer Science 383C, Mathematics 383E, or Statistics and Data Sciences 393C; and Mathematics 427K and 365C, or consent of instructor']",Only one of the following may be counted,"Same as Computational Science, Engineering, and Mathematics 383D, Computer Science 383D, and Mathematics 383F. Survey of numerical methods for interpolation, functional approximation, integration, and solution of differential equations. Three lecture hours a week for one semester. Prerequisite: Graduate standing; Computational Science, Engineering, and Mathematics 383C, Computer Science 383C, Mathematics 383E, or Statistics and Data Sciences 393C; and Mathematics 427K and 365C, or consent of instructor. Only one of the following may be counted: Computational Science, Engineering, and Mathematics 383D, Computer Science 383D, Mathematics 383F, Statistics and Data Sciences 393D."
SDS 394,Scientific and Technical Computing,"Comprehensive introduction to computing techniques and methods applicable to many scientific disciplines and technical applications. Covers computer hardware and operating systems, systems software and tools, code development, numerical methods and math libraries, and basic visualization and data analysis tools. Three lecture hours a week for one semester.",['Statistics and Scientific Computation 394'],"['Graduate standing, and a third-semester calculus course or the equivalent; prior programming experience is recommended']",Statistics and Data Sciences 394 and Statistics and Scientific Computation 394 may not both be counted,"Comprehensive introduction to computing techniques and methods applicable to many scientific disciplines and technical applications. Covers computer hardware and operating systems, systems software and tools, code development, numerical methods and math libraries, and basic visualization and data analysis tools. Three lecture hours a week for one semester. Prerequisite: Graduate standing, and a third-semester calculus course or the equivalent; prior programming experience is recommended. Statistics and Data Sciences 394 and Statistics and Scientific Computation 394 may not both be counted."
SDS 394C,Parallel Computing for Science and Engineering,"Parallel computing principles, architectures, and technologies. Parallel application development, performance, and scalability. Designed to prepare students to formulate and develop parallel algorithms to implement effective applications for parallel computing systems. Three lecture hours a week for one semester.",['Statistics and Scientific Computation 394C'],"['Graduate standing, a third-semester calculus course or the equivalent, a linear algebra course or a matrices course, and prior programming experience using C or Fortran on Linux or Unix systems']",Statistics and Data Sciences 394C and Statistics and Scientific Computation 394C may not both be counted,"Parallel computing principles, architectures, and technologies. Parallel application development, performance, and scalability. Designed to prepare students to formulate and develop parallel algorithms to implement effective applications for parallel computing systems. Three lecture hours a week for one semester. Prerequisite: Graduate standing, a third-semester calculus course or the equivalent, a linear algebra course or a matrices course, and prior programming experience using C or Fortran on Linux or Unix systems. Statistics and Data Sciences 394C and Statistics and Scientific Computation 394C may not both be counted."
SDS 394D,Distributed and Grid Computing for Science and Engineering,"Distributed and grid computing principles and technologies. Covers common modes of grid computing for scientific applications, developing grid-enabled applications, and future trends in grid computing. Three lecture hours a week for one semester.",['Statistics and Scientific Computation 394D'],"['Graduate standing, a third-semester calculus course or the equivalent, a linear algebra course or a matrices course, and prior programming experience using C or Fortran on Linux or Unix systems']",Statistics and Data Sciences 394D and Statistics and Scientific Computation 394D may not both be counted,"Distributed and grid computing principles and technologies. Covers common modes of grid computing for scientific applications, developing grid-enabled applications, and future trends in grid computing. Three lecture hours a week for one semester. Prerequisite: Graduate standing, a third-semester calculus course or the equivalent, a linear algebra course or a matrices course, and prior programming experience using C or Fortran on Linux or Unix systems. Statistics and Data Sciences 394D and Statistics and Scientific Computation 394D may not both be counted."
SDS 394E,Visualization and Data Analysis for Science and Engineering,"Scientific visualization principles, practices, and technologies, including remote and collaborative visualization. Introduces statistical analysis, data mining, and feature detection.",[],"['Graduate standing', 'a third-semester calculus course or the equivalent', 'a linear algebra course or a matrices course', 'prior programming experience using C or Fortran on Linux or Unix systems']",Upper division standing,"Scientific visualization principles, practices, and technologies, including remote and collaborative visualization. Introduces statistical analysis, data mining, and feature detection. Three lecture hours a week for one semester. Statistics and Data Sciences 394E and Statistics and Scientific Computation 394E may not both be counted. Prerequisite: Graduate standing, a third-semester calculus course or the equivalent, a linear algebra course or a matrices course, and prior programming experience using C or Fortran on Linux or Unix systems."
SDS 395,Advanced Topics in Scientific Computation,Three lecture hours a week for one semester.,[],['Graduate standing'],Additional prerequisites vary with the topic,Three lecture hours a week for one semester. Statistics and Data Sciences 395 and Statistics and Scientific Computation 395 may not both be counted unless topics vary. May be repeated for credit when the topics vary. Prerequisite: Graduate standing; additional prerequisites vary with the topic.
SDS 396P,Topics in Statistics and Data Science Extensions,Examine advanced concepts of statistics and data science.,[],['Graduate standing'],Additional prerequisites vary with the topic,Restricted to students in the PhD statistics program. Examine advanced concepts of statistics and data science. Three lecture hours a week for one semester. May be repeated for credit when the topics vary. Prerequisite: Graduate standing. Additional prerequisites vary with the topic.
SDS 197R,Statistics Internship,May be repeated for credit.,[],"['Graduate standing', 'consent of graduate adviser']",,May be repeated for credit. Offered on the credit/no credit basis only. Prerequisite: Graduate standing and consent of graduate adviser.
SDS 398R,Master's Report,Preparation of a report to fulfill the requirement for the master's degree under the report option.,[],"['Graduate standing in statistics and data sciences', 'consent of supervising professor', 'consent of graduate adviser']",,"Preparation of a report to fulfill the requirement for the master's degree under the report option. The equivalent of three lecture hours a week for one semester. Statistics and Data Sciences 398R and Statistics and Scientific Computation 398R may not both be counted. Offered on the credit/no credit basis only. Prerequisite: Graduate standing in statistics and data sciences, consent of supervising professor, and consent of graduate adviser."
SDS 398T,Supervised Teaching in Statistics and Data Sciences,"Supervised teaching experience; weekly group meetings, individual consultations, and reports.",[],"['Graduate standing', 'appointment as a teaching assistant']",,"Supervised teaching experience; weekly group meetings, individual consultations, and reports. Three lecture hours a week for one semester. Statistics and Data Sciences 398T and Statistics and Scientific Computation 398T may not both be counted. Offered on the credit/no credit basis only. Prerequisite: Graduate standing and appointment as a teaching assistant."
SDS 399W,Dissertation,May be repeated for credit.,[],['Admission to candidacy for the doctoral degree'],,"Statistics and Data Sciences 399W, 699W, 999W and Statistics and Scientific Computation 399W, 699W, 999W may not both be counted. May be repeated for credit. Offered on the credit/no credit basis only. Prerequisite: Admission to candidacy for the doctoral degree."
